word,p1,p2,p3,p4,p5
comes,c,o,m,e,s
close,c,l,o,s,e
power,p,o,w,e,r
lived,l,i,v,e,d
vowel,v,o,w,e,l
taken,t,a,k,e,n
built,b,u,i,l,t
heart,h,e,a,r,t
ready,r,e,a,d,y
quite,q,u,i,t,e
class,c,l,a,s,s
bring,b,r,i,n,g
round,r,o,u,n,d
horse,h,o,r,s,e
shows,s,h,o,w,s
piece,p,i,e,c,e
green,g,r,e,e,n
stand,s,t,a,n,d
birds,b,i,r,d,s
start,s,t,a,r,t
river,r,i,v,e,r
tried,t,r,i,e,d
least,l,e,a,s,t
field,f,i,e,l,d
whose,w,h,o,s,e
girls,g,i,r,l,s
leave,l,e,a,v,e
added,a,d,d,e,d
color,c,o,l,o,r
third,t,h,i,r,d
hours,h,o,u,r,s
moved,m,o,v,e,d
plant,p,l,a,n,t
doing,d,o,i,n,g
names,n,a,m,e,s
forms,f,o,r,m,s
heavy,h,e,a,v,y
ideas,i,d,e,a,s
cried,c,r,i,e,d
check,c,h,e,c,k
floor,f,l,o,o,r
begin,b,e,g,i,n
woman,w,o,m,a,n
alone,a,l,o,n,e
plane,p,l,a,n,e
spell,s,p,e,l,l
watch,w,a,t,c,h
carry,c,a,r,r,y
wrote,w,r,o,t,e
clear,c,l,e,a,r
named,n,a,m,e,d
books,b,o,o,k,s
child,c,h,i,l,d
glass,g,l,a,s,s
human,h,u,m,a,n
takes,t,a,k,e,s
party,p,a,r,t,y
build,b,u,i,l,d
seems,s,e,e,m,s
blood,b,l,o,o,d
sides,s,i,d,e,s
seven,s,e,v,e,n
mouth,m,o,u,t,h
solve,s,o,l,v,e
north,n,o,r,t,h
value,v,a,l,u,e
death,d,e,a,t,h
maybe,m,a,y,b,e
happy,h,a,p,p,y
tells,t,e,l,l,s
gives,g,i,v,e,s
looks,l,o,o,k,s
shape,s,h,a,p,e
lives,l,i,v,e,s
steps,s,t,e,p,s
areas,a,r,e,a,s
sense,s,e,n,s,e
speak,s,p,e,a,k
force,f,o,r,c,e
ocean,o,c,e,a,n
speed,s,p,e,e,d
women,w,o,m,e,n
metal,m,e,t,a,l
south,s,o,u,t,h
grass,g,r,a,s,s
scale,s,c,a,l,e
cells,c,e,l,l,s
lower,l,o,w,e,r
sleep,s,l,e,e,p
wrong,w,r,o,n,g
pages,p,a,g,e,s
ships,s,h,i,p,s
needs,n,e,e,d,s
rocks,r,o,c,k,s
eight,e,i,g,h,t
major,m,a,j,o,r
level,l,e,v,e,l
total,t,o,t,a,l
ahead,a,h,e,a,d
reach,r,e,a,c,h
stars,s,t,a,r,s
store,s,t,o,r,e
sight,s,i,g,h,t
terms,t,e,r,m,s
catch,c,a,t,c,h
works,w,o,r,k,s
board,b,o,a,r,d
cover,c,o,v,e,r
songs,s,o,n,g,s
equal,e,q,u,a,l
stone,s,t,o,n,e
waves,w,a,v,e,s
guess,g,u,e,s,s
dance,d,a,n,c,e
spoke,s,p,o,k,e
break,b,r,e,a,k
cause,c,a,u,s,e
radio,r,a,d,i,o
weeks,w,e,e,k,s
lands,l,a,n,d,s
basic,b,a,s,i,c
liked,l,i,k,e,d
trade,t,r,a,d,e
fresh,f,r,e,s,h
final,f,i,n,a,l
fight,f,i,g,h,t
meant,m,e,a,n,t
drive,d,r,i,v,e
spent,s,p,e,n,t
local,l,o,c,a,l
waxes,w,a,x,e,s
knows,k,n,o,w,s
train,t,r,a,i,n
bread,b,r,e,a,d
homes,h,o,m,e,s
teeth,t,e,e,t,h
coast,c,o,a,s,t
thick,t,h,i,c,k
brown,b,r,o,w,n
clean,c,l,e,a,n
quiet,q,u,i,e,t
sugar,s,u,g,a,r
facts,f,a,c,t,s
steel,s,t,e,e,l
forth,f,o,r,t,h
rules,r,u,l,e,s
notes,n,o,t,e,s
units,u,n,i,t,s
peace,p,e,a,c,e
month,m,o,n,t,h
verbs,v,e,r,b,s
seeds,s,e,e,d,s
helps,h,e,l,p,s
sharp,s,h,a,r,p
visit,v,i,s,i,t
woods,w,o,o,d,s
chief,c,h,i,e,f
walls,w,a,l,l,s
cross,c,r,o,s,s
wings,w,i,n,g,s
grown,g,r,o,w,n
cases,c,a,s,e,s
foods,f,o,o,d,s
crops,c,r,o,p,s
fruit,f,r,u,i,t
stick,s,t,i,c,k
wants,w,a,n,t,s
stage,s,t,a,g,e
sheep,s,h,e,e,p
nouns,n,o,u,n,s
plain,p,l,a,i,n
drink,d,r,i,n,k
bones,b,o,n,e,s
apart,a,p,a,r,t
turns,t,u,r,n,s
moves,m,o,v,e,s
touch,t,o,u,c,h
angle,a,n,g,l,e
based,b,a,s,e,d
range,r,a,n,g,e
marks,m,a,r,k,s
tired,t,i,r,e,d
older,o,l,d,e,r
farms,f,a,r,m,s
spend,s,p,e,n,d
shoes,s,h,o,e,s
goods,g,o,o,d,s
chair,c,h,a,i,r
twice,t,w,i,c,e
cents,c,e,n,t,s
empty,e,m,p,t,y
alike,a,l,i,k,e
style,s,t,y,l,e
broke,b,r,o,k,e
pairs,p,a,i,r,s
count,c,o,u,n,t
enjoy,e,n,j,o,y
score,s,c,o,r,e
shore,s,h,o,r,e
roots,r,o,o,t,s
paint,p,a,i,n,t
heads,h,e,a,d,s
shook,s,h,o,o,k
serve,s,e,r,v,e
angry,a,n,g,r,y
crowd,c,r,o,w,d
wheel,w,h,e,e,l
quick,q,u,i,c,k
dress,d,r,e,s,s
share,s,h,a,r,e
alive,a,l,i,v,e
noise,n,o,i,s,e
solid,s,o,l,i,d
cloth,c,l,o,t,h
signs,s,i,g,n,s
hills,h,i,l,l,s
types,t,y,p,e,s
drawn,d,r,a,w,n
worth,w,o,r,t,h
truck,t,r,u,c,k
piano,p,i,a,n,o
upper,u,p,p,e,r
loved,l,o,v,e,d
usual,u,s,u,a,l
faces,f,a,c,e,s
drove,d,r,o,v,e
cabin,c,a,b,i,n
boats,b,o,a,t,s
towns,t,o,w,n,s
proud,p,r,o,u,d
court,c,o,u,r,t
model,m,o,d,e,l
prime,p,r,i,m,e
fifty,f,i,f,t,y
plans,p,l,a,n,s
yards,y,a,r,d,s
prove,p,r,o,v,e
tools,t,o,o,l,s
price,p,r,i,c,e
sheet,s,h,e,e,t
smell,s,m,e,l,l
boxes,b,o,x,e,s
raise,r,a,i,s,e
match,m,a,t,c,h
truth,t,r,u,t,h
roads,r,o,a,d,s
threw,t,h,r,e,w
enemy,e,n,e,m,y
lunch,l,u,n,c,h
chart,c,h,a,r,t
scene,s,c,e,n,e
graph,g,r,a,p,h
doubt,d,o,u,b,t
guide,g,u,i,d,e
winds,w,i,n,d,s
block,b,l,o,c,k
grain,g,r,a,i,n
smoke,s,m,o,k,e
mixed,m,i,x,e,d
games,g,a,m,e,s
wagon,w,a,g,o,n
sweet,s,w,e,e,t
topic,t,o,p,i,c
extra,e,x,t,r,a
plate,p,l,a,t,e
title,t,i,t,l,e
knife,k,n,i,f,e
fence,f,e,n,c,e
falls,f,a,l,l,s
cloud,c,l,o,u,d
wheat,w,h,e,a,t
plays,p,l,a,y,s
enter,e,n,t,e,r
broad,b,r,o,a,d
steam,s,t,e,a,m
atoms,a,t,o,m,s
press,p,r,e,s,s
lying,l,y,i,n,g
basis,b,a,s,i,s
clock,c,l,o,c,k
taste,t,a,s,t,e
grows,g,r,o,w,s
thank,t,h,a,n,k
storm,s,t,o,r,m
agree,a,g,r,e,e
brain,b,r,a,i,n
track,t,r,a,c,k
smile,s,m,i,l,e
funny,f,u,n,n,y
beach,b,e,a,c,h
stock,s,t,o,c,k
hurry,h,u,r,r,y
saved,s,a,v,e,d
sorry,s,o,r,r,y
giant,g,i,a,n,t
trail,t,r,a,i,l
offer,o,f,f,e,r
ought,o,u,g,h,t
rough,r,o,u,g,h
daily,d,a,i,l,y
avoid,a,v,o,i,d
keeps,k,e,e,p,s
throw,t,h,r,o,w
allow,a,l,l,o,w
cream,c,r,e,a,m
laugh,l,a,u,g,h
edges,e,d,g,e,s
teach,t,e,a,c,h
frame,f,r,a,m,e
bells,b,e,l,l,s
dream,d,r,e,a,m
magic,m,a,g,i,c
occur,o,c,c,u,r
ended,e,n,d,e,d
chord,c,h,o,r,d
false,f,a,l,s,e
skill,s,k,i,l,l
holes,h,o,l,e,s
dozen,d,o,z,e,n
brave,b,r,a,v,e
apple,a,p,p,l,e
climb,c,l,i,m,b
outer,o,u,t,e,r
pitch,p,i,t,c,h
ruler,r,u,l,e,r
holds,h,o,l,d,s
fixed,f,i,x,e,d
costs,c,o,s,t,s
calls,c,a,l,l,s
blank,b,l,a,n,k
staff,s,t,a,f,f
labor,l,a,b,o,r
eaten,e,a,t,e,n
youth,y,o,u,t,h
tones,t,o,n,e,s
honor,h,o,n,o,r
globe,g,l,o,b,e
gases,g,a,s,e,s
doors,d,o,o,r,s
poles,p,o,l,e,s
loose,l,o,o,s,e
apply,a,p,p,l,y
tears,t,e,a,r,s
exact,e,x,a,c,t
brush,b,r,u,s,h
chest,c,h,e,s,t
layer,l,a,y,e,r
whale,w,h,a,l,e
minor,m,i,n,o,r
faith,f,a,i,t,h
tests,t,e,s,t,s
judge,j,u,d,g,e
items,i,t,e,m,s
worry,w,o,r,r,y
waste,w,a,s,t,e
hoped,h,o,p,e,d
strip,s,t,r,i,p
begun,b,e,g,u,n
aside,a,s,i,d,e
lakes,l,a,k,e,s
bound,b,o,u,n,d
depth,d,e,p,t,h
candy,c,a,n,d,y
event,e,v,e,n,t
worse,w,o,r,s,e
aware,a,w,a,r,e
shell,s,h,e,l,l
rooms,r,o,o,m,s
ranch,r,a,n,c,h
image,i,m,a,g,e
snake,s,n,a,k,e
aloud,a,l,o,u,d
dried,d,r,i,e,d
likes,l,i,k,e,s
motor,m,o,t,o,r
pound,p,o,u,n,d
knees,k,n,e,e,s
refer,r,e,f,e,r
fully,f,u,l,l,y
chain,c,h,a,i,n
shirt,s,h,i,r,t
flour,f,l,o,u,r
drops,d,r,o,p,s
spite,s,p,i,t,e
orbit,o,r,b,i,t
banks,b,a,n,k,s
shoot,s,h,o,o,t
curve,c,u,r,v,e
tribe,t,r,i,b,e
tight,t,i,g,h,t
blind,b,l,i,n,d
slept,s,l,e,p,t
shade,s,h,a,d,e
claim,c,l,a,i,m
flies,f,l,i,e,s
theme,t,h,e,m,e
queen,q,u,e,e,n
fifth,f,i,f,t,h
union,u,n,i,o,n
hence,h,e,n,c,e
straw,s,t,r,a,w
entry,e,n,t,r,y
issue,i,s,s,u,e
birth,b,i,r,t,h
feels,f,e,e,l,s
anger,a,n,g,e,r
brief,b,r,i,e,f
rhyme,r,h,y,m,e
glory,g,l,o,r,y
guard,g,u,a,r,d
flows,f,l,o,w,s
flesh,f,l,e,s,h
owned,o,w,n,e,d
trick,t,r,i,c,k
yours,y,o,u,r,s
sizes,s,i,z,e,s
noted,n,o,t,e,d
width,w,i,d,t,h
burst,b,u,r,s,t
route,r,o,u,t,e
lungs,l,u,n,g,s
uncle,u,n,c,l,e
bears,b,e,a,r,s
royal,r,o,y,a,l
kings,k,i,n,g,s
forty,f,o,r,t,y
trial,t,r,i,a,l
cards,c,a,r,d,s
brass,b,r,a,s,s
opera,o,p,e,r,a
chose,c,h,o,s,e
owner,o,w,n,e,r
vapor,v,a,p,o,r
beats,b,e,a,t,s
mouse,m,o,u,s,e
tough,t,o,u,g,h
wires,w,i,r,e,s
meter,m,e,t,e,r
tower,t,o,w,e,r
finds,f,i,n,d,s
inner,i,n,n,e,r
stuck,s,t,u,c,k
arrow,a,r,r,o,w
poems,p,o,e,m,s
label,l,a,b,e,l
swing,s,w,i,n,g
solar,s,o,l,a,r
truly,t,r,u,l,y
tense,t,e,n,s,e
beans,b,e,a,n,s
split,s,p,l,i,t
rises,r,i,s,e,s
weigh,w,e,i,g,h
hotel,h,o,t,e,l
stems,s,t,e,m,s
pride,p,r,i,d,e
swung,s,w,u,n,g
grade,g,r,a,d,e
digit,d,i,g,i,t
badly,b,a,d,l,y
boots,b,o,o,t,s
pilot,p,i,l,o,t
sales,s,a,l,e,s
swept,s,w,e,p,t
lucky,l,u,c,k,y
prize,p,r,i,z,e
stove,s,t,o,v,e
tubes,t,u,b,e,s
acres,a,c,r,e,s
wound,w,o,u,n,d
steep,s,t,e,e,p
slide,s,l,i,d,e
trunk,t,r,u,n,k
error,e,r,r,o,r
porch,p,o,r,c,h
slave,s,l,a,v,e
exist,e,x,i,s,t
faced,f,a,c,e,d
mines,m,i,n,e,s
marry,m,a,r,r,y
juice,j,u,i,c,e
raced,r,a,c,e,d
waved,w,a,v,e,d
goose,g,o,o,s,e
trust,t,r,u,s,t
fewer,f,e,w,e,r
favor,f,a,v,o,r
mills,m,i,l,l,s
views,v,i,e,w,s
joint,j,o,i,n,t
eager,e,a,g,e,r
spots,s,p,o,t,s
blend,b,l,e,n,d
rings,r,i,n,g,s
adult,a,d,u,l,t
index,i,n,d,e,x
nails,n,a,i,l,s
horns,h,o,r,n,s
balls,b,a,l,l,s
flame,f,l,a,m,e
rates,r,a,t,e,s
drill,d,r,i,l,l
trace,t,r,a,c,e
skins,s,k,i,n,s
waxed,w,a,x,e,d
seats,s,e,a,t,s
stuff,s,t,u,f,f
ratio,r,a,t,i,o
minds,m,i,n,d,s
dirty,d,i,r,t,y
silly,s,i,l,l,y
coins,c,o,i,n,s
hello,h,e,l,l,o
trips,t,r,i,p,s
leads,l,e,a,d,s
rifle,r,i,f,l,e
hopes,h,o,p,e,s
bases,b,a,s,e,s
shine,s,h,i,n,e
bench,b,e,n,c,h
moral,m,o,r,a,l
fires,f,i,r,e,s
meals,m,e,a,l,s
shake,s,h,a,k,e
shops,s,h,o,p,s
cycle,c,y,c,l,e
movie,m,o,v,i,e
slope,s,l,o,p,e
canoe,c,a,n,o,e
teams,t,e,a,m,s
folks,f,o,l,k,s
fired,f,i,r,e,d
bands,b,a,n,d,s
thumb,t,h,u,m,b
shout,s,h,o,u,t
canal,c,a,n,a,l
habit,h,a,b,i,t
reply,r,e,p,l,y
ruled,r,u,l,e,d
fever,f,e,v,e,r
crust,c,r,u,s,t
shelf,s,h,e,l,f
walks,w,a,l,k,s
midst,m,i,d,s,t
crack,c,r,a,c,k
print,p,r,i,n,t
tales,t,a,l,e,s
coach,c,o,a,c,h
stiff,s,t,i,f,f
flood,f,l,o,o,d
verse,v,e,r,s,e
awake,a,w,a,k,e
rocky,r,o,c,k,y
march,m,a,r,c,h
fault,f,a,u,l,t
swift,s,w,i,f,t
faint,f,a,i,n,t
civil,c,i,v,i,l
ghost,g,h,o,s,t
feast,f,e,a,s,t
blade,b,l,a,d,e
limit,l,i,m,i,t
germs,g,e,r,m,s
reads,r,e,a,d,s
ducks,d,u,c,k,s
dairy,d,a,i,r,y
worst,w,o,r,s,t
gifts,g,i,f,t,s
lists,l,i,s,t,s
stops,s,t,o,p,s
rapid,r,a,p,i,d
brick,b,r,i,c,k
claws,c,l,a,w,s
beads,b,e,a,d,s
beast,b,e,a,s,t
skirt,s,k,i,r,t
cakes,c,a,k,e,s
lions,l,i,o,n,s
frogs,f,r,o,g,s
tries,t,r,i,e,s
nerve,n,e,r,v,e
grand,g,r,a,n,d
armed,a,r,m,e,d
treat,t,r,e,a,t
honey,h,o,n,e,y
moist,m,o,i,s,t
legal,l,e,g,a,l
penny,p,e,n,n,y
crown,c,r,o,w,n
shock,s,h,o,c,k
taxes,t,a,x,e,s
sixty,s,i,x,t,y
altar,a,l,t,a,r
pulls,p,u,l,l,s
sport,s,p,o,r,t
drums,d,r,u,m,s
talks,t,a,l,k,s
dying,d,y,i,n,g
dates,d,a,t,e,s
drank,d,r,a,n,k
blows,b,l,o,w,s
lever,l,e,v,e,r
wages,w,a,g,e,s
proof,p,r,o,o,f
drugs,d,r,u,g,s
tanks,t,a,n,k,s
sings,s,i,n,g,s
tails,t,a,i,l,s
pause,p,a,u,s,e
herds,h,e,r,d,s
arose,a,r,o,s,e
hated,h,a,t,e,d
clues,c,l,u,e,s
novel,n,o,v,e,l
shame,s,h,a,m,e
burnt,b,u,r,n,t
races,r,a,c,e,s
flash,f,l,a,s,h
weary,w,e,a,r,y
heels,h,e,e,l,s
token,t,o,k,e,n
coats,c,o,a,t,s
spare,s,p,a,r,e
shiny,s,h,i,n,y
alarm,a,l,a,r,m
dimes,d,i,m,e,s
sixth,s,i,x,t,h
clerk,c,l,e,r,k
mercy,m,e,r,c,y
sunny,s,u,n,n,y
guest,g,u,e,s,t
float,f,l,o,a,t
shone,s,h,o,n,e
pipes,p,i,p,e,s
worms,w,o,r,m,s
bills,b,i,l,l,s
sweat,s,w,e,a,t
suits,s,u,i,t,s
smart,s,m,a,r,t
upset,u,p,s,e,t
rains,r,a,i,n,s
sandy,s,a,n,d,y
rainy,r,a,i,n,y
parks,p,a,r,k,s
sadly,s,a,d,l,y
fancy,f,a,n,c,y
rider,r,i,d,e,r
unity,u,n,i,t,y
bunch,b,u,n,c,h
rolls,r,o,l,l,s
crash,c,r,a,s,h
craft,c,r,a,f,t
newly,n,e,w,l,y
gates,g,a,t,e,s
hatch,h,a,t,c,h
paths,p,a,t,h,s
funds,f,u,n,d,s
wider,w,i,d,e,r
grace,g,r,a,c,e
grave,g,r,a,v,e
tides,t,i,d,e,s
admit,a,d,m,i,t
shift,s,h,i,f,t
sails,s,a,i,l,s
pupil,p,u,p,i,l
tiger,t,i,g,e,r
angel,a,n,g,e,l
cruel,c,r,u,e,l
agent,a,g,e,n,t
drama,d,r,a,m,a
urged,u,r,g,e,d
patch,p,a,t,c,h
nests,n,e,s,t,s
vital,v,i,t,a,l
sword,s,w,o,r,d
blame,b,l,a,m,e
weeds,w,e,e,d,s
screw,s,c,r,e,w
vocal,v,o,c,a,l
bacon,b,a,c,o,n
chalk,c,h,a,l,k
cargo,c,a,r,g,o
crazy,c,r,a,z,y
acted,a,c,t,e,d
goats,g,o,a,t,s
arise,a,r,i,s,e
witch,w,i,t,c,h
loves,l,o,v,e,s
queer,q,u,e,e,r
dwell,d,w,e,l,l
backs,b,a,c,k,s
ropes,r,o,p,e,s
shots,s,h,o,t,s
merry,m,e,r,r,y
phone,p,h,o,n,e
cheek,c,h,e,e,k
peaks,p,e,a,k,s
ideal,i,d,e,a,l
beard,b,e,a,r,d
eagle,e,a,g,l,e
creek,c,r,e,e,k
cries,c,r,i,e,s
ashes,a,s,h,e,s
stall,s,t,a,l,l
yield,y,i,e,l,d
mayor,m,a,y,o,r
opens,o,p,e,n,s
input,i,n,p,u,t
fleet,f,l,e,e,t
tooth,t,o,o,t,h
cubic,c,u,b,i,c
wives,w,i,v,e,s
burns,b,u,r,n,s
poets,p,o,e,t,s
apron,a,p,r,o,n
spear,s,p,e,a,r
organ,o,r,g,a,n
cliff,c,l,i,f,f
stamp,s,t,a,m,p
paste,p,a,s,t,e
rural,r,u,r,a,l
baked,b,a,k,e,d
chase,c,h,a,s,e
slice,s,l,i,c,e
slant,s,l,a,n,t
knock,k,n,o,c,k
noisy,n,o,i,s,y
sorts,s,o,r,t,s
stays,s,t,a,y,s
wiped,w,i,p,e,d
blown,b,l,o,w,n
piled,p,i,l,e,d
clubs,c,l,u,b,s
cheer,c,h,e,e,r
widow,w,i,d,o,w
twist,t,w,i,s,t
tenth,t,e,n,t,h
hides,h,i,d,e,s
comma,c,o,m,m,a
sweep,s,w,e,e,p
spoon,s,p,o,o,n
stern,s,t,e,r,n
crept,c,r,e,p,t
maple,m,a,p,l,e
deeds,d,e,e,d,s
rides,r,i,d,e,s
muddy,m,u,d,d,y
crime,c,r,i,m,e
jelly,j,e,l,l,y
ridge,r,i,d,g,e
drift,d,r,i,f,t
dusty,d,u,s,t,y
devil,d,e,v,i,l
tempo,t,e,m,p,o
humor,h,u,m,o,r
sends,s,e,n,d,s
steal,s,t,e,a,l
tents,t,e,n,t,s
waist,w,a,i,s,t
roses,r,o,s,e,s
reign,r,e,i,g,n
noble,n,o,b,l,e
cheap,c,h,e,a,p
dense,d,e,n,s,e
linen,l,i,n,e,n
geese,g,e,e,s,e
woven,w,o,v,e,n
posts,p,o,s,t,s
hired,h,i,r,e,d
wrath,w,r,a,t,h
salad,s,a,l,a,d
bowed,b,o,w,e,d
tires,t,i,r,e,s
shark,s,h,a,r,k
belts,b,e,l,t,s
grasp,g,r,a,s,p
blast,b,l,a,s,t
polar,p,o,l,a,r
fungi,f,u,n,g,i
tends,t,e,n,d,s
pearl,p,e,a,r,l
loads,l,o,a,d,s
jokes,j,o,k,e,s
veins,v,e,i,n,s
frost,f,r,o,s,t
hears,h,e,a,r,s
loses,l,o,s,e,s
hosts,h,o,s,t,s
diver,d,i,v,e,r
phase,p,h,a,s,e
toads,t,o,a,d,s
alert,a,l,e,r,t
tasks,t,a,s,k,s
seams,s,e,a,m,s
coral,c,o,r,a,l
focus,f,o,c,u,s
naked,n,a,k,e,d
puppy,p,u,p,p,y
jumps,j,u,m,p,s
spoil,s,p,o,i,l
quart,q,u,a,r,t
macro,m,a,c,r,o
fears,f,e,a,r,s
flung,f,l,u,n,g
spark,s,p,a,r,k
vivid,v,i,v,i,d
brook,b,r,o,o,k
steer,s,t,e,e,r
spray,s,p,r,a,y
decay,d,e,c,a,y
ports,p,o,r,t,s
socks,s,o,c,k,s
urban,u,r,b,a,n
goals,g,o,a,l,s
grant,g,r,a,n,t
minus,m,i,n,u,s
films,f,i,l,m,s
tunes,t,u,n,e,s
shaft,s,h,a,f,t
firms,f,i,r,m,s
skies,s,k,i,e,s
bride,b,r,i,d,e
wreck,w,r,e,c,k
flock,f,l,o,c,k
stare,s,t,a,r,e
hobby,h,o,b,b,y
bonds,b,o,n,d,s
dared,d,a,r,e,d
faded,f,a,d,e,d
thief,t,h,i,e,f
crude,c,r,u,d,e
pants,p,a,n,t,s
flute,f,l,u,t,e
votes,v,o,t,e,s
tonal,t,o,n,a,l
radar,r,a,d,a,r
wells,w,e,l,l,s
skull,s,k,u,l,l
hairs,h,a,i,r,s
argue,a,r,g,u,e
wears,w,e,a,r,s
dolls,d,o,l,l,s
voted,v,o,t,e,d
caves,c,a,v,e,s
cared,c,a,r,e,d
broom,b,r,o,o,m
scent,s,c,e,n,t
panel,p,a,n,e,l
fairy,f,a,i,r,y
olive,o,l,i,v,e
bends,b,e,n,d,s
prism,p,r,i,s,m
lamps,l,a,m,p,s
cable,c,a,b,l,e
peach,p,e,a,c,h
ruins,r,u,i,n,s
rally,r,a,l,l,y
schwa,s,c,h,w,a
lambs,l,a,m,b,s
sells,s,e,l,l,s
cools,c,o,o,l,s
draft,d,r,a,f,t
charm,c,h,a,r,m
limbs,l,i,m,b,s
brake,b,r,a,k,e
gazed,g,a,z,e,d
cubes,c,u,b,e,s
delay,d,e,l,a,y
beams,b,e,a,m,s
fetch,f,e,t,c,h
ranks,r,a,n,k,s
array,a,r,r,a,y
harsh,h,a,r,s,h
camel,c,a,m,e,l
vines,v,i,n,e,s
picks,p,i,c,k,s
naval,n,a,v,a,l
purse,p,u,r,s,e
rigid,r,i,g,i,d
crawl,c,r,a,w,l
toast,t,o,a,s,t
soils,s,o,i,l,s
sauce,s,a,u,c,e
basin,b,a,s,i,n
ponds,p,o,n,d,s
twins,t,w,i,n,s
wrist,w,r,i,s,t
fluid,f,l,u,i,d
pools,p,o,o,l,s
brand,b,r,a,n,d
stalk,s,t,a,l,k
robot,r,o,b,o,t
reeds,r,e,e,d,s
hoofs,h,o,o,f,s
buses,b,u,s,e,s
sheer,s,h,e,e,r
grief,g,r,i,e,f
bloom,b,l,o,o,m
dwelt,d,w,e,l,t
melts,m,e,l,t,s
risen,r,i,s,e,n
flags,f,l,a,g,s
knelt,k,n,e,l,t
fiber,f,i,b,e,r
roofs,r,o,o,f,s
freed,f,r,e,e,d
armor,a,r,m,o,r
piles,p,i,l,e,s
aimed,a,i,m,e,d
algae,a,l,g,a,e
twigs,t,w,i,g,s
lemon,l,e,m,o,n
ditch,d,i,t,c,h
drunk,d,r,u,n,k
rests,r,e,s,t,s
chill,c,h,i,l,l
slain,s,l,a,i,n
panic,p,a,n,i,c
cords,c,o,r,d,s
tuned,t,u,n,e,d
crisp,c,r,i,s,p
ledge,l,e,d,g,e
dived,d,i,v,e,d
swamp,s,w,a,m,p
clung,c,l,u,n,g
stole,s,t,o,l,e
molds,m,o,l,d,s
yarns,y,a,r,n,s
liver,l,i,v,e,r
gauge,g,a,u,g,e
breed,b,r,e,e,d
stool,s,t,o,o,l
gulls,g,u,l,l,s
awoke,a,w,o,k,e
gross,g,r,o,s,s
diary,d,i,a,r,y
rails,r,a,i,l,s
belly,b,e,l,l,y
trend,t,r,e,n,d
flask,f,l,a,s,k
stake,s,t,a,k,e
fried,f,r,i,e,d
draws,d,r,a,w,s
actor,a,c,t,o,r
handy,h,a,n,d,y
bowls,b,o,w,l,s
haste,h,a,s,t,e
scope,s,c,o,p,e
deals,d,e,a,l,s
knots,k,n,o,t,s
moons,m,o,o,n,s
essay,e,s,s,a,y
thump,t,h,u,m,p
hangs,h,a,n,g,s
bliss,b,l,i,s,s
dealt,d,e,a,l,t
gains,g,a,i,n,s
bombs,b,o,m,b,s
clown,c,l,o,w,n
palms,p,a,l,m,s
cones,c,o,n,e,s
roast,r,o,a,s,t
tidal,t,i,d,a,l
bored,b,o,r,e,d
chant,c,h,a,n,t
acids,a,c,i,d,s
dough,d,o,u,g,h
camps,c,a,m,p,s
swore,s,w,o,r,e
lover,l,o,v,e,r
hooks,h,o,o,k,s
males,m,a,l,e,s
cocoa,c,o,c,o,a
punch,p,u,n,c,h
award,a,w,a,r,d
reins,r,e,i,n,s
ninth,n,i,n,t,h
noses,n,o,s,e,s
links,l,i,n,k,s
drain,d,r,a,i,n
